Issue Type,Summary,Description,Acceptance Criteria,Epic Name,Epic Link,Priority,Story Points,Component,Labels,Fix Version,Requirement,Objective,Critical To Outcome,Team,Blocked By
Story,Abort floor on the effect itself,"As the platform owner, I need an experiment to stop if the effect is far worse than expected, so that a deliberately weaker arm cannot run away.","• An effect-size floor is declared on the experiment artefact alongside the guardrails.
• Breaching the floor aborts the arm on the same path as a guardrail breach.
• Floor is mandatory for any experiment whose declared direction is negative.",,Live Monitoring & Automatic Guardrail Abort,P0,5,Observability,decision-platform d90 req-r9,D90,R9,O4,Y,Experimentation,Automatic arm abort on breach
Story,Per-merchant harm detection,"As Client Service, I need to know if the cost of an experiment is concentrating on one merchant, so that a portfolio-level pass does not hide an individual loss.","• Guardrails evaluated per merchant as well as in aggregate.
• A merchant breaching individually is removed from the experiment without aborting it entirely.
• Client Service is notified with the merchant and the measured impact.",,Live Monitoring & Automatic Guardrail Abort,P0,8,Observability,decision-platform d90 req-r9,D90,R9,O4,Y,Experimentation,Guardrail metric computation
Story,Abort notification and post-abort report,"As the review forum, I need to know immediately when an arm aborts and why, so that the next decision is informed.","• Abort notifies the experiment owner, the platform owner and Client Service within five minutes.
• Post-abort report states the breached guardrail, the measured value, the affected population and the exposure at abort.
• Report attached to the experiment record.",,Live Monitoring & Automatic Guardrail Abort,P1,5,Observability,decision-platform d90 req-r9,D90,R9,O4,N,Experimentation,Automatic arm abort on breach
Epic,Decision Trace,"Any transaction explained end to end — experiment membership, arm, flow, every decision applied and what the baseline would have decided — self-serve, in under two minutes.",,Decision Trace,,P0,,Observability,decision-platform d90 req-r10,D90,R10,O5,,Experimentation,
Story,Per-transaction decision trace API,"As support and product, I need to retrieve every decision applied to a transaction, so that explaining an outcome does not require an engineer.","• API returns, for a transaction: experiment membership, arm, flow and version, every decision point with the strategy applied, the action chosen and the fallback that would have fired.
• Response under two seconds at p95.
• Available for any transaction within the retention window.",,Decision Trace,P0,8,Observability,decision-platform d90 req-r10,D90,R10,O5,Y,Experimentation,Persist decision records with 13-month retention
Story,Self-serve trace UI,"As support, I need to answer ""why did this transaction do that"" myself, so that explanations are not an escalation.","• A non-engineer can go from transaction id to full explanation in under two minutes.
• Tested with five users from Client Service, unassisted.
• Links to the strategy and flow artefacts that were in force.",,Decision Trace,P1,13,Observability,decision-platform d90 req-r10,D90,R10,O5,N,Experimentation,Per-transaction decision trace API
Story,Trace shows experiment membership and propensity,"As an analyst, I need membership and propensity visible per transaction, so that an individual case can be reconciled against the aggregate.","• Trace shows in-experiment yes/no, experiment name, arm, assignment unit, assignment point, propensity and treatment-delivered flag.
• Fields match the decision record exactly — no re-derivation.",,Decision Trace,P0,5,Observability,decision-platform d90 req-r10,D90,R10,O5,Y,Experimentation,Per-transaction decision trace API
Story,Trace shows the counterfactual per decision point,"As an analyst, I need the ""would have"" column in the trace, so that attribution is inspectable at the individual level.","• For each decision point, trace shows the action chosen and the action the baseline flow would have chosen.
• The trace states plainly that this is what would have been decided, not what would have been approved.",,Decision Trace,P0,5,Observability,decision-platform d90 req-r10,D90,R10,O5,Y,Experimentation,Per-transaction decision trace API
Story,Access control and PCI scope review for trace data,"As compliance, I need trace access governed, so that a debugging tool does not become a data exposure.","• Role-based access defined and implemented.
• PCI scope assessment completed and signed off.
• Credential values shown as tokens or last-four only; access to full values is separately controlled and audited.",,Decision Trace,P0,8,Observability,decision-platform d90 req-r10,D90,R10,O5,Y,Experimentation,Per-transaction decision trace API
Epic,Outcome Join & Economic Readout,"Outcomes joined at four horizons, revised as later horizons land, and translated into merchant and PSP economics by pricing model.",,Outcome Join & Economic Readout,,P0,,Analytics,decision-platform d90 req-r11 req-r12,D90,R11 R12,O2,,Analytics Engineering,
Story,Outcome join at four horizons,"As an analyst, I need decisions joined to outcomes as they land, so that a readout is not limited to what is known at authorization.","• Joins at authorization, settlement, 30-day fraud and 120-day dispute.
• Each readout states which horizons are complete and which are pending.
• Join is idempotent and reproducible.",,Outcome Join & Economic Readout,P0,13,Analytics,decision-platform d90 req-r11,D90,R11,O2,Y,Analytics Engineering,Verify record completeness against transaction volume
Story,Readout revision as later horizons land,"As a decision maker, I need readouts revised rather than replaced, so that a conclusion drawn at 30 days is visibly superseded at 120.","• Each readout is versioned with the horizons it covers.
• A later revision links to the one it supersedes and states what changed.
• Prior revisions remain retrievable.",,Outcome Join & Economic Readout,P0,8,Analytics,decision-platform d90 req-r11,D90,R11,O2,Y,Analytics Engineering,Outcome join at four horizons
Story,Scorecard computation,"As a decision maker, I need approval reported alongside cost, fraud, dispute and fidelity, so that no readout can present approval alone.","• Scorecard computes transaction approval, first-attempt approval, cost of acceptance, fraud proxy, dispute proxy and treatment fidelity.
• A scorecard with a missing dimension is not publishable.
• Each line shows control, variant, delta and status.",,Outcome Join & Economic Readout,P0,8,Analytics,decision-platform d90 req-r12,D90,R12,O2,Y,Analytics Engineering,Outcome join at four horizons
Story,Confidence intervals and stopping-rule evaluation,"As a decision maker, I need an interval rather than a point estimate, so that a result is reported with its uncertainty.","• Confidence interval computed for every primary and guardrail metric.
• Stopping rule evaluated against the pre-declared sample size, never against the observed effect.
• Peeking is prevented or explicitly corrected, and which was done is stated.",,Outcome Join & Economic Readout,P0,8,Analytics,decision-platform d90 req-r12,D90,R12,O2,Y,Analytics Engineering,Scorecard computation
Story,Economic translation by pricing model,"As Product and Finance, I need the result in money, so that the decision is commercial rather than statistical.","• Translates the measured effect into merchant margin and PSP net revenue, separately for interchange-plus and blended pricing.
• Assumptions (margin rate, take rate) are named inputs, not constants in code.
• Output shows the exchange rate: bps of cost per 100 bps of approval.",,Outcome Join & Economic Readout,P0,8,Analytics,decision-platform d90 req-r12,D90,R12,O2,Y,Analytics Engineering,Confidence intervals and stopping-rule evaluation
Story,Publish the readout with a date and an expiry,"As the platform owner, I need every published number to carry an expiry, so that a measurement does not quietly become a claim.","• Readout is published with the measurement window, the baseline version and an expiry date.
• An expired readout is flagged wherever it is cited.
• Re-run cadence recorded on the readout.",,Outcome Join & Economic Readout,P0,3,Analytics,decision-platform d90 req-r12,D90,R12,O2,Y,Analytics Engineering,Economic translation by pricing model
Epic,Promotion & Baseline Ratchet,"A winner promotes to a named population, the baseline recompiles with it bound in, and rollback is an exposure pointer change.",,Promotion & Baseline Ratchet,,P0,,Control Plane,decision-platform d90 req-r13,D90,R13,O2 O4,,Payments Platform,
Story,Scoped promotion,"As a strategy owner, I need to promote a winner to a named population rather than globally, so that a result that holds for one segment is not applied to all.","• Promotion targets a declared population, using the same predicate vocabulary as the experiment.
• Promotion outside the tested population requires a documented justification.
• Promotion record links to the readout that justified it.",,Promotion & Baseline Ratchet,P0,8,Control Plane,decision-platform d90 req-r13,D90,R13,O2 O4,Y,Payments Platform,Publish the readout with a date and an expiry
Story,Baseline recompile with the winner bound in,"As the platform, I need the baseline to move when a variant wins, so that the next experiment measures against the current best.","• A new baseline flow version is compiled with the winning strategy bound at the relevant decision point.
• The prior baseline remains resolvable for historical traces.
• Active experiments against the old baseline are flagged for re-baselining.",,Promotion & Baseline Ratchet,P0,8,Control Plane,decision-platform d90 req-r13,D90,R13,O2 O4,Y,Payments Platform,Scoped promotion
Story,Rollback as an exposure pointer change,"As on-call, I need to reverse a promotion without a deployment, so that reversal is measured in minutes.","• Rollback changes an exposure pointer only — no deploy, no data migration.
• Takes effect within one propagation cycle.
• Rehearsed in a game day before D90 exit.",,Promotion & Baseline Ratchet,P0,3,Control Plane,decision-platform d90 req-r13,D90,R13,O2 O4,Y,Payments Platform,Baseline recompile with the winner bound in
Story,Evidence record,"As the platform owner, I need every readout retained against its baseline version, so that cumulative value can be reconstructed later.","• Every readout stored with the baseline version it measured against, the population and the date.
• Record is append-only.
• Queryable to answer: what has this platform been worth since inception.",,Promotion & Baseline Ratchet,P1,5,Control Plane,decision-platform d90 req-r13,D90,R13,O2 O4,N,Payments Platform,Baseline recompile with the winner bound in
Epic,Experiment 1 — Credential (execution),"Run the first controlled experiment end to end: vault network token as control, merchant-supplied credential as the deliberately weaker variant, to an economic readout.",,Experiment 1 — Credential (execution),,P0,,Experimentation,decision-platform d90,D90,—,O1 O2 O3 O4 O5,,Experimentation,
Story,Register Cred_MerchantSupplied_v1,"As the credential product owner, I need the variant strategy registered, so that Experiment 1 has a treatment.","• Strategy registered against D4.1 with population, definition, fallback Cred_VaultNetworkToken_v4, owner and 180-day expiry.
• Passes all registration gates.
• Reviewed by credential product and risk.",,Experiment 1 — Credential (execution),P0,3,Experimentation,decision-platform d90,D90,—,O1 O2 O3 O4 O5,Y,Experimentation,Strategy registration API and CLI
Story,Compose F3_MerchantCred_v1 from F2_VaultNWT_v6,"As the experiment owner, I need a variant flow that differs from the baseline at exactly one point, so that the result is attributable.","• Flow compiles with diff_count = 1 against F2_VaultNWT_v6.
• Every other binding identical to the baseline.
• Flow signed and distributed to all regions at 0% exposure.",,Experiment 1 — Credential (execution),P0,3,Experimentation,decision-platform d90,D90,—,O1 O2 O3 O4 O5,Y,Experimentation,Single-difference check
Story,Backtest and publish the blast-radius report,"As the review forum, I need the exact number of decisions that would change before any exposure, so that promotion is an informed step.","• Replay against at least 30 days of decision records.
• Report gives exact changed-decision count, percentage of eligible traffic and affected merchants.
• No policy conflicts introduced.",,Experiment 1 — Credential (execution),P0,5,Experimentation,decision-platform d90,D90,—,O1 O2 O3 O4 O5,Y,Experimentation,Replay report as a promotion gate artefact
Story,Register the experiment and clear all mechanical gates,"As the experiment owner, I need the design to pass the gates rather than a reviewer, so that the review meeting discusses the hypothesis instead of the statistics.","• Experiment registered with hypothesis, direction, single metric, 25 bps effect size, guardrails and abort floor.
• All mechanical gates pass without override.
• Sample size computed and duration expressed in enrolments.",,Experiment 1 — Credential (execution),P0,5,Experimentation,decision-platform d90,D90,—,O1 O2 O3 O4 O5,Y,Experimentation,Gate: pre-registration lock
Story,Client consent and communication,"As Client Service, I need the participating merchant informed and consented where required, so that the experiment does not create a relationship problem.","• Consent posture applied per the Legal opinion.
• Participating merchant(s) identified and briefed, with the expected exploration cost stated in bps.
• Named Client Service contact assigned for the duration.",,Experiment 1 — Credential (execution),P0,8,Experimentation,decision-platform d90,D90,—,O1 O2 O3 O4 O5,Y,Experimentation,Legal review of exploration consent posture
Story,Ramp to 3% and soak,"As the experiment owner, I need a soak period at low exposure, so that guardrails are proven before the arm widens.","• Exposure at 3% for a minimum soak of seven days.
• All guardrails computing and within threshold.
• Treatment fidelity above the declared floor.",,Experiment 1 — Credential (execution),P0,5,Experimentation,decision-platform d90,D90,—,O1 O2 O3 O4 O5,Y,Experimentation,Runtime exposure weight changes
Story,Widen to 5% and run to sample size,"As the experiment owner, I need the experiment to run to its pre-declared sample size, so that the result is powered.","• Exposure widened to 5% within the pre-declared ramp.
• Runs to 66,900 variant enrolments or an abort.
• No design changes after first enrolment.",,Experiment 1 — Credential (execution),P0,5,Experimentation,decision-platform d90,D90,—,O1 O2 O3 O4 O5,Y,Experimentation,Ramp to 3% and soak
Story,Produce the first economic readout,"As leadership, I need the first end-to-end readout, so that the platform has demonstrated the outcome it was built for.","• Scorecard published with all six dimensions, intervals and status.
• Economic translation for both pricing models.
• Readout carries a date, a baseline version and an expiry.
• Presented to the review forum with a promote, hold or retire decision recorded.",,Experiment 1 — Credential (execution),P0,5,Experimentation,decision-platform d90,D90,—,O1 O2 O3 O4 O5,Y,Experimentation,Publish the readout with a date and an expiry
Epic,Credential Seasoning (enables Experiment 2),"Provisioning decoupled from presentation so a treatment seasons before exposure — without this, Experiment 2 measures a freshly minted token rather than the vault.",,Credential Seasoning (enables Experiment 2),,P0,,Credential Vault,decision-platform d90plus req-r15,D90+,R15,O2,,Credential Vault,
Story,Decouple credential provisioning from presentation,"As the vault product owner, I need provisioning and presentation to be separate acts, so that a token can exist without being used.","• Provisioning a network token does not change which credential is presented.
• Presentation is controlled solely by the D4.1 strategy binding.
• Provisioning state visible in the decision record.",,Credential Seasoning (enables Experiment 2),P0,13,Credential Vault,decision-platform d90plus req-r15,D90+,R15,O2,Y,Credential Vault,Emit decision records from credential selection (D4.1)
Story,Provision ahead for the full eligible population,"As the experiment owner, I need tokens provisioned for control and variant alike before exposure, so that provisioning is not confounded with treatment.","• Eligible population provisioned regardless of arm.
• Provisioning completes before experiment start, with a verification report.
• Provisioning cost accounted separately from exploration cost.",,Credential Seasoning (enables Experiment 2),P0,8,Credential Vault,decision-platform d90plus req-r15,D90+,R15,O2,Y,Credential Vault,Decouple credential provisioning from presentation
Story,Define and measure a seasoning window,"As an analyst, I need a stated seasoning period before exposure, so that we measure the vault rather than a new token.","• Seasoning window defined with evidence, not assumed.
• Experiment start gated on the window having elapsed for the eligible population.
• Window recorded on the experiment artefact.",,Credential Seasoning (enables Experiment 2),P0,8,Credential Vault,decision-platform d90plus req-r15,D90+,R15,O2,Y,Credential Vault,Provision ahead for the full eligible population
Spike,SPIKE: quantify new-token vs seasoned-token performance,"As an analyst, I need to know whether token age materially affects approval, so that the seasoning window is set on evidence.","• Approval rate analysed by token age on existing production data.
• Result determines the seasoning window, or shows that none is needed.
• Finding documented and attached to the Experiment 2 design.",,Credential Seasoning (enables Experiment 2),P0,5,Credential Vault,decision-platform d90plus req-r15,D90+,R15,O2,Y,Credential Vault,Persist decision records with 13-month retention
